,Gender,Age,Married,NumberofDependents,City,Latitude,Longitude,NumberofReferrals,TenureinMonths,Offer,PhoneService,MultipleLines,InternetService,InternetType,AvgMonthlyGBDownload,OnlineSecurity,OnlineBackup,DeviceProtectionPlan,PremiumTechSupport,StreamingTV,StreamingMovies,StreamingMusic,UnlimitedData,Contract,PaperlessBilling,PaymentMethod,MonthlyCharge,TotalRevenue,CustomerStatus,ChurnCategory
11,Female,25,Yes,2,Sunnyvale,37.378541,-122.020456,2,72,No Offer,Yes,Yes,Yes,Fiber Optic,59.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,116.8,9609.47,Stayed,
12,Female,58,Yes,0,Antelope,38.715498,-121.363411,0,5,No Offer,Yes,No,Yes,Fiber Optic,10.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,68.95,444.75,Stayed,
13,Female,32,No,0,La Mesa,32.782501,-117.01611,0,72,Offer A,Yes,Yes,Yes,Fiber Optic,16.0,Yes,Yes,Yes,No,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,101.3,7423.25,Stayed,
14,Female,39,No,0,Los Olivos,34.70434,-120.02609,0,56,No Offer,No,No PhoneService,Yes,DSL,19.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Two Year,No,Bank Withdrawal,45.05,2560.1,Stayed,
15,Female,58,Yes,2,Woodlake,36.464635,-119.094348,9,71,Offer A,Yes,Yes,Yes,Fiber Optic,12.0,No,Yes,Yes,No,No,Yes,Yes,Yes,Two Year,Yes,Credit Card,95.75,8784.86,Stayed,
16,Female,52,Yes,1,Point Reyes Station,38.060264,-122.830646,0,34,No Offer,No,No PhoneService,Yes,DSL,20.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,61.25,1993.2,Stayed,
17,Female,72,No,0,San Marcos,33.119028,-117.166036,0,1,Offer E,Yes,Yes,Yes,Fiber Optic,22.0,No,No,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,72.1,79.87,Stayed,
18,Male,79,No,0,Daly City,37.680844,-122.48131,0,45,No Offer,Yes,No,Yes,DSL,17.0,Yes,No,Yes,No,No,Yes,No,Yes,One Year,No,Credit Card,62.7,3271.65,Churned,Dissatisfaction
19,Male,67,No,0,Morgan Hill,37.161544,-121.649371,0,1,No Offer,No,No PhoneService,Yes,Cable,9.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,25.1,25.1,Churned,Competitor
20,Female,79,Yes,0,Ahwahnee,37.375816,-119.739935,0,50,No Offer,Yes,Yes,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,No,Bank Withdrawal,25.2,2877.8,Stayed,
21,Female,26,Yes,0,Carnelian Bay,39.227434,-120.091806,1,13,No Offer,Yes,Yes,Yes,Fiber Optic,52.0,No,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,94.1,1781.88,Churned,Other
22,Female,30,Yes,2,Alpaugh,35.869626,-119.498771,1,23,Offer D,Yes,Yes,Yes,Fiber Optic,30.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,83.75,2652.88,Stayed,
23,Female,22,No,0,Keeler,36.560498,-117.962461,0,3,No Offer,Yes,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,No,Credit Card,19.85,66.56,Stayed,
24,Female,34,Yes,0,Korbel,40.7666,-123.80458,0,4,Offer E,Yes,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,No,Credit Card,20.35,126.07,Churned,Price
25,Female,37,Yes,1,Palomar Mountain,33.309852,-116.823091,1,1,No Offer,No,No PhoneService,Yes,DSL,19.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,30.5,30.5,Churned,Attitude
26,Female,37,Yes,3,Parlier,36.622237,-119.521126,10,55,No Offer,Yes,No,Yes,Fiber Optic,57.0,No,Yes,Yes,Yes,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,103.7,7603.95,Stayed,
27,Male,42,Yes,3,Modesto,37.612612,-121.108568,3,54,No Offer,Yes,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Credit Card,20.4,2154.4,Stayed,
28,Male,64,No,0,Glen Ellen,38.368744,-122.522642,0,26,Offer C,Yes,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,Yes,Bank Withdrawal,19.6,1430.8,Stayed,
29,Female,47,Yes,3,Eureka,40.737431,-124.108897,5,69,No Offer,Yes,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Bank Withdrawal,19.7,4045.81,Stayed,
30,Male,23,Yes,3,Moss Beach,37.515556,-122.502311,1,37,Offer C,Yes,No,Yes,Fiber Optic,51.0,No,No,No,No,Yes,Yes,Yes,Yes,One Year,No,Credit Card,91.2,4838.92,Stayed,
31,Female,48,Yes,0,Los Angeles,34.001617,-118.222274,5,49,Offer B,Yes,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,No,Bank Withdrawal,20.45,3330.32,Stayed,
33,Female,28,No,0,Calexico,32.690654,-115.431225,0,67,No Offer,Yes,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,No,Bank Withdrawal,20.55,2861.91,Stayed,
34,Male,33,Yes,1,Redding,40.677649,-122.29467,4,20,No Offer,No,No PhoneService,Yes,Cable,22.0,Yes,No,Yes,Yes,No,No,No,Yes,Two Year,Yes,Credit Card,39.4,825.4,Stayed,
35,Female,31,No,3,San Martin,37.084697,-121.606417,0,43,No Offer,Yes,Yes,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,Yes,Bank Withdrawal,25.1,2387.67,Stayed,
36,Female,37,Yes,0,Stockton,38.044523,-121.348048,2,55,Offer B,Yes,Yes,Yes,Fiber Optic,9.0,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.8,5239.0,Stayed,
37,Female,60,Yes,0,Los Angeles,33.964131,-118.272783,4,59,Offer B,Yes,Yes,Yes,Fiber Optic,14.0,Yes,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.75,6564.66,Stayed,
38,Female,48,Yes,3,Huntington Park,33.97803,-118.217141,3,12,No Offer,Yes,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Bank Withdrawal,20.3,455.86,Stayed,
39,Male,60,Yes,3,Yermo,35.013299,-116.834092,7,27,Offer C,Yes,Yes,Yes,Fiber Optic,23.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.75,2611.02,Stayed,
40,Male,69,No,0,San Diego,32.961064,-117.134917,0,2,No Offer,Yes,No,Yes,DSL,27.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,49.25,179.08,Churned,Competitor
41,Female,20,No,0,Fremont,37.516791,-121.899117,0,27,Offer C,Yes,No,Yes,DSL,59.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,78.2,3399.52,Stayed,
42,Male,31,Yes,3,Santa Rosa,38.439696,-122.668817,1,25,No Offer,Yes,Yes,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Credit Card,25.5,1178.43,Stayed,
43,Male,46,Yes,0,San Jose,37.327069,-121.916819,5,25,No Offer,Yes,No,Yes,Cable,19.0,Yes,Yes,Yes,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,61.6,1727.35,Stayed,
44,Male,57,No,1,Tujunga,34.296574,-118.244839,0,29,No Offer,No,No PhoneService,Yes,DSL,21.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Credit Card,45.0,1230.19,Stayed,
45,Male,19,Yes,0,Visalia,36.391777,-119.372842,5,72,No Offer,Yes,Yes,Yes,DSL,52.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,85.15,8646.12,Stayed,
46,Female,64,No,0,Lodi,38.123544,-121.159078,0,14,No Offer,Yes,No,Yes,Cable,12.0,No,Yes,No,No,No,No,No,Yes,One Year,No,Credit Card,51.45,1064.41,Stayed,
47,Female,38,No,0,El Portal,37.654551,-119.822984,0,35,Offer C,Yes,No,Yes,Fiber Optic,2.0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,99.25,4806.7,Stayed,
48,Male,54,No,0,Calistoga,38.629618,-122.593216,0,1,Offer E,Yes,No,Yes,DSL,9.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,44.3,87.25,Stayed,
49,Male,50,No,0,Farmington,37.956963,-120.863055,0,29,No Offer,Yes,No,Yes,Fiber Optic,17.0,No,No,No,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,94.2,2687.05,Stayed,
50,Male,25,No,0,Tulelake,41.813521,-121.492666,0,64,No Offer,Yes,Yes,Yes,DSL,69.0,Yes,Yes,Yes,Yes,Yes,No,No,No,One Year,No,Bank Withdrawal,81.25,5958.91,Stayed,
51,Female,35,Yes,3,Coleville,38.42528,-119.475741,1,39,No Offer,Yes,Yes,Yes,Fiber Optic,53.0,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,99.95,4718.22,Stayed,
52,Female,72,No,0,Ojai,34.581308,-118.931948,0,40,No Offer,Yes,No,Yes,Fiber Optic,23.0,No,No,No,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,91.55,5439.2,Stayed,
53,Male,51,No,0,Desert Hot Springs,33.832799,-116.250973,0,40,No Offer,Yes,Yes,Yes,Fiber Optic,15.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,104.5,5544.45,Churned,Competitor
54,Female,78,No,1,North Hollywood,34.207295,-118.400022,0,11,Offer D,Yes,No,Yes,Fiber Optic,29.0,No,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,95.0,1367.79,Churned,Dissatisfaction
55,Female,30,Yes,0,Inverness,38.099323,-122.945723,10,6,Offer E,Yes,Yes,Yes,Cable,85.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,50.35,570.51,Stayed,
56,Male,58,No,0,Santa Rosa,38.526941,-122.709096,0,30,No Offer,Yes,Yes,Yes,DSL,15.0,Yes,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Mailed Check,64.5,1967.65,Stayed,
57,Male,26,No,0,San Jose,37.387027,-121.897775,0,27,No Offer,Yes,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,Yes,Bank Withdrawal,19.4,1087.62,Stayed,
58,Male,66,Yes,0,Wilmington,33.782068,-118.262263,3,70,No Offer,Yes,Yes,Yes,Fiber Optic,28.0,No,Yes,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,104.8,10067.14,Stayed,
59,Female,20,Yes,0,Modesto,37.670526,-120.877572,10,57,Offer B,Yes,Yes,Yes,Fiber Optic,73.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,109.4,6709.27,Stayed,
60,Male,61,Yes,0,San Diego,32.697098,-117.116587,10,58,No Offer,Yes,No,Yes,DSL,18.0,No,No,Yes,No,No,No,No,Yes,One Year,No,Credit Card,50.3,3933.78,Stayed,
61,Male,24,No,0,Rancho Palos Verdes,33.753146,-118.367459,0,16,No Offer,Yes,Yes,Yes,DSL,48.0,No,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,71.4,1623.46,Stayed,
62,Female,55,Yes,0,Kenwood,38.419525,-122.521585,3,69,Offer A,Yes,Yes,Yes,Fiber Optic,27.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,116.0,10840.73,Stayed,
63,Male,32,No,0,West Point,38.41935,-120.469545,0,1,Offer E,Yes,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,Yes,Bank Withdrawal,19.85,51.62,Churned,Attitude
64,Male,59,No,0,Los Angeles,34.003553,-118.308933,0,1,No Offer,Yes,Yes,Yes,Fiber Optic,25.0,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,99.75,140.46,Churned,Competitor
65,Male,71,Yes,1,Morongo Valley,34.097863,-116.594561,9,32,Offer C,Yes,No,Yes,Fiber Optic,23.0,No,Yes,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Mailed Check,93.95,3880.97,Stayed,
66,Male,49,Yes,2,Palo Verde,33.3249,-114.758334,8,16,Offer D,Yes,Yes,Yes,Fiber Optic,12.0,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,90.8,2221.56,Stayed,
67,Male,61,Yes,0,Valyermo,34.39583,-117.734568,1,49,Offer B,Yes,Yes,Yes,Cable,10.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,84.35,5997.3,Churned,Competitor
68,Female,40,Yes,0,Cambria,35.591387,-121.032256,2,71,Offer A,No,No PhoneService,Yes,Cable,29.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,58.25,4145.9,Stayed,
69,Female,39,No,0,Round Mountain,40.923558,-122.059933,0,33,No Offer,Yes,Yes,Yes,Fiber Optic,12.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,107.55,5285.27,Stayed,
70,Female,21,Yes,0,Klamath,41.572813,-124.035011,9,10,Offer D,Yes,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,Yes,Bank Withdrawal,19.95,683.75,Stayed,
71,Male,24,Yes,0,Fresno,36.841655,-119.797113,1,21,No Offer,Yes,Yes,Yes,Fiber Optic,59.0,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,111.2,3198.56,Churned,Attitude
72,Male,52,Yes,1,Angwin,38.542448,-122.419923,1,37,No Offer,No,No PhoneService,Yes,DSL,23.0,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,40.2,1448.8,Churned,Competitor
73,Female,71,No,0,Le Grand,37.249377,-120.249581,0,26,No Offer,Yes,No,Yes,Fiber Optic,7.0,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,85.8,3070.89,Stayed,
74,Male,45,No,0,Redway,40.142256,-123.852927,0,50,Offer B,No,No PhoneService,Yes,DSL,7.0,Yes,No,No,Yes,No,No,No,Yes,One Year,Yes,Credit Card,35.4,1748.9,Stayed,
75,Female,29,No,0,San Diego,32.85723,-117.209774,0,7,No Offer,Yes,Yes,Yes,Fiber Optic,26.0,No,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,73.85,698.56,Churned,Competitor
76,Female,62,Yes,0,Monterey Park,34.049172,-118.115022,1,61,Offer B,Yes,Yes,Yes,DSL,28.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Mailed Check,88.1,8405.34,Stayed,
77,Male,42,No,0,Big Oak Flat,37.818589,-120.256995,0,15,Offer D,Yes,No,Yes,Fiber Optic,12.0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,101.35,2242.75,Churned,Attitude
78,Female,51,No,2,Stevenson Ranch,34.364153,-118.615583,0,26,No Offer,No,No PhoneService,Yes,DSL,19.0,Yes,No,No,Yes,No,Yes,Yes,Yes,Month-to-Month,No,Credit Card,45.8,1147.0,Stayed,
79,Male,39,Yes,0,North Highlands,38.671295,-121.388251,9,72,No Offer,Yes,No,Yes,Fiber Optic,23.0,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.65,9139.19,Stayed,
80,Male,64,Yes,0,La Puente,34.038983,-117.991372,1,44,No Offer,Yes,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,Yes,Bank Withdrawal,20.5,2070.65,Stayed,
81,Male,55,No,0,Glenhaven,39.045246,-122.743181,0,66,Offer A,Yes,Yes,Yes,Fiber Optic,8.0,No,Yes,No,No,No,Yes,Yes,No,Month-to-Month,No,Credit Card,89.4,9200.36,Stayed,
82,Female,40,No,0,Alhambra,34.074736,-118.145959,0,2,No Offer,Yes,No,Yes,Fiber Optic,16.0,Yes,Yes,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,86.25,255.27,Churned,Competitor
83,Female,76,No,0,Santa Monica,34.031529,-118.491156,0,44,No Offer,Yes,No,Yes,DSL,17.0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,74.85,3589.82,Stayed,
84,Female,57,No,0,Lodi,38.123544,-121.159078,0,12,Offer D,Yes,Yes,Yes,Fiber Optic,6.0,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.75,1224.96,Churned,Attitude
85,Male,71,Yes,0,Los Angeles,33.973616,-118.24902,1,69,No Offer,Yes,Yes,Yes,Fiber Optic,17.0,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,109.95,8904.54,Stayed,
86,Female,25,No,0,Fairfield,38.287136,-122.02711,0,1,Offer E,Yes,Yes,Yes,Fiber Optic,69.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,80.2,81.43,Churned,Price
87,Female,24,No,0,Stockton,37.974498,-121.319568,0,3,Offer E,Yes,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,No,Credit Card,19.85,141.0,Churned,Price
88,Female,19,Yes,0,Temecula,33.507255,-117.029473,10,2,No Offer,Yes,No,Yes,Fiber Optic,53.0,Yes,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,90.35,199.8,Stayed,
89,Female,77,No,0,Fallbrook,33.362575,-117.299644,0,27,No Offer,Yes,Yes,Yes,Fiber Optic,4.0,No,Yes,Yes,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,86.45,2481.24,Stayed,
90,Male,57,No,0,Randsburg,35.405722,-117.773354,0,26,Offer C,Yes,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,Yes,Bank Withdrawal,20.3,858.09,Stayed,
91,Female,73,Yes,0,Atascadero,35.453912,-120.69461,9,39,No Offer,Yes,Yes,Yes,Fiber Optic,21.0,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,101.25,4735.0,Stayed,
92,Male,41,No,0,Planada,37.329725,-120.306399,0,25,No Offer,Yes,Yes,Yes,Fiber Optic,8.0,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.7,3234.1,Churned,Competitor
93,Female,43,No,0,Moorpark,34.312945,-118.858169,0,1,Offer E,Yes,No,Yes,Fiber Optic,23.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Mailed Check,70.9,110.71,Churned,Competitor
94,Male,48,Yes,0,Solvang,34.624399,-120.137875,1,22,Offer D,Yes,No,Yes,DSL,21.0,Yes,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,54.2,1751.98,Churned,Attitude
95,Female,56,No,0,Calistoga,38.629618,-122.593216,0,72,Offer A,Yes,Yes,Yes,Fiber Optic,5.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,114.9,11979.34,Stayed,
96,Female,51,No,0,La Mirada,33.902045,-118.008961,0,24,No Offer,Yes,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,Yes,Bank Withdrawal,19.55,725.56,Stayed,
97,Female,34,Yes,0,Boron,34.95703,-117.73045,8,19,No Offer,Yes,Yes,Yes,Fiber Optic,16.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,86.85,1713.36,Stayed,
98,Male,21,Yes,2,San Marcos,33.119028,-117.166036,2,71,No Offer,Yes,Yes,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Credit Card,25.35,2500.75,Stayed,
99,Male,78,Yes,0,Desert Center,33.889605,-115.257009,7,33,No Offer,Yes,Yes,Yes,Fiber Optic,20.0,Yes,No,Yes,Yes,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,109.9,4524.65,Stayed,
100,Female,60,No,0,Crows Landing,37.435664,-121.049056,0,3,No Offer,Yes,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,No,Credit Card,19.95,66.07,Stayed,
101,Male,54,Yes,1,Tuolumne,37.939768,-120.188002,7,47,No Offer,Yes,Yes,Yes,Fiber Optic,13.0,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,87.2,4068.68,Stayed,
102,Male,42,Yes,3,San Diego,32.807867,-117.060993,2,62,No Offer,Yes,No,Yes,Fiber Optic,20.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,108.15,6934.77,Stayed,
103,Male,22,No,0,Auburn,38.912881,-121.082766,0,71,No Offer,Yes,Yes,Yes,Fiber Optic,48.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,116.3,8514.03,Stayed,
104,Male,71,Yes,0,Fresno,36.623632,-119.741322,8,7,No Offer,Yes,No,Yes,Fiber Optic,11.0,No,No,No,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,89.0,899.24,Stayed,
105,Female,56,Yes,2,Del Rey,36.657462,-119.595293,6,27,Offer C,Yes,No,Yes,Fiber Optic,28.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,74.4,3232.17,Stayed,
106,Male,33,No,0,Redwood City,37.527497,-122.230941,0,2,No Offer,Yes,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,No,Credit Card,20.05,37.32,Stayed,
107,Female,32,No,3,Landers,34.341737,-116.539416,0,25,Offer C,No,No PhoneService,Yes,Cable,75.0,Yes,No,No,Yes,No,No,No,Yes,Two Year,No,Bank Withdrawal,35.05,844.45,Stayed,
108,Male,80,No,0,Hawthorne,33.914775,-118.348083,0,30,No Offer,Yes,No,Yes,DSL,5.0,Yes,Yes,No,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,74.75,3269.6,Stayed,
109,Female,73,Yes,0,Oceano,35.059695,-120.604741,1,58,No Offer,Yes,No,Yes,Fiber Optic,19.0,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,105.5,7188.02,Churned,Attitude
110,Male,26,Yes,0,Armona,36.315979,-119.710852,1,10,Offer D,Yes,Yes,Yes,Fiber Optic,82.0,No,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,85.25,975.5,Churned,Competitor
